Sample	PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS	SAMPLE	LIBRARY	READ_GROUP
5_00_bam	125612600	125601380		84252018	25842028	941538	14565796	0	0	0		0.670789	0.205746	0.007496	0.115968	0.876535	0.876457	0	0.487564	0.481567	0.347739	1.422872			
5_02_bam	2512621450	2512407452		1726469539	529676399	8307293	247954221	0	0	0		0.687177	0.210824	0.003307	0.098692	0.898002	0.897925	0	0.363154	0.599435	0.352129	1.679179			
5_04_bam	1789605650	1789453832		1243244713	352321238	5773542	188114339	0	0	0		0.694762	0.196888	0.003226	0.105124	0.89165	0.891574	0	0.378381	0.539956	0.339809	1.60841			
5_05_bam	1578725150	1578558093		960208672	307926751	25772387	284650283	0	0	0		0.608282	0.195068	0.016327	0.180323	0.80335	0.803265	0	0.378817	0.495335	0.395945	1.246317			
6_00_bam	138220600	138203899		75790732	27914067	2380609	32118491	0	0	0		0.548398	0.201977	0.017225	0.232399	0.750375	0.750285	0	0.493719	0.451827	0.416084	1.044608			
6_06_bam	2145961550	2145716783		1197912305	398663125	26988893	522152460	0	0	0		0.558281	0.185795	0.012578	0.243346	0.744076	0.743991	0	0.38551	0.512725	0.405634	1.241146			
6_07_bam	1792858150	1792632758		919139729	397010332	29685432	446797265	0	0	0		0.512732	0.221468	0.01656	0.249241	0.734199	0.734107	0	0.437699	0.384104	0.536266	0.692064			
6_12_bam	3489608900	3489192538		1891203221	658114707	69305960	870568650	0	0	0		0.542017	0.188615	0.019863	0.249504	0.730633	0.730545	0	0.370378	0.575891	0.392886	1.423517			
7_00_bam	221043900	221025022		147288853	44525914	1826361	27383894	0	0	0		0.66639	0.201452	0.008263	0.123895	0.867842	0.867768	0	0.44686	0.51756	0.351532	1.453815			
7_02_bam	3009943650	3009680524		2023310509	598213056	9181484	378975475	0	0	0		0.672268	0.198763	0.003051	0.125919	0.871031	0.870954	0	0.362701	0.581304	0.357673	1.624734			
7_04_bam	2719934050	2719708041		1925024867	550280908	7747058	236655208	0	0	0		0.707806	0.202331	0.002848	0.087015	0.910137	0.910061	0	0.369406	0.55235	0.341362	1.595849			
7_05_bam	2360082400	2359865130		1450736816	459946786	42335669	406845859	0	0	0		0.614754	0.194904	0.01794	0.172402	0.809658	0.809583	0	0.370616	0.551487	0.364456	1.466545			
8_00_bam	158341250	158324241		93326079	30058295	2445369	32494498	0	0	0		0.589462	0.189853	0.015445	0.20524	0.779314	0.779231	0	0.4861	0.480838	0.375361	1.262586			
8_06_bam	2987657900	2987338961		1741900632	522540896	35593241	687304192	0	0	0		0.583094	0.174919	0.011915	0.230072	0.758013	0.757932	0	0.376364	0.534042	0.373384	1.405216			
8_07_bam	2651273250	2651000511		1576450686	536870854	46544020	491134951	0	0	0		0.594663	0.202516	0.017557	0.185264	0.797179	0.797097	0	0.377112	0.561495	0.398376	1.385385			
8_12_bam	2266144750	2265882246		1271150405	424996157	39979216	529756468	0	0	0		0.560996	0.187563	0.017644	0.233797	0.748559	0.748472	0	0.376604	0.551283	0.387637	1.381628			
