BAM	Total	Exons	CDS	Introns	5UTR	3UTR
2_00	132089	144291	104624	190029	12909	28693
2_01	2114646	2688906	2038847	2828207	234084	455480
2_03	3292007	3545740	2594735	4624028	331449	650756
2_08	4105455	4908147	3715036	5251098	425350	816070
2_09	2540716	2436720	1749555	3834662	218648	490276
3_00	146476	147859	107915	281414	11139	30590
3_10	4036147	4030020	2980871	7980767	326914	777411
3_11	2959616	3700192	2770532	4784057	284219	690128
3_20	4504830	5062921	3770558	7680134	400000	948270
3_21	3654328	4419794	3321660	6022925	361220	806797
5_00	176208	179735	131919	367918	14559	36427
5_22	2496088	3449439	2587165	3969714	287998	634784
5_23	2952207	3466038	2590812	5371930	283833	637211
5_25	3386267	3926625	2925548	6196194	339168	713567
5_27	3752278	4562656	3390363	6710689	404049	842214
6_00	273646	283913	210113	445443	24525	55356
6_22	5810450	7360463	5638248	8076653	624453	1270697
6_23	5716934	6446320	4881780	8445416	570889	1125587
6_25	5132345	5460290	4074735	7982009	515146	964152
6_27	4305110	4359804	3206554	7394029	384849	840114
7_00	171781	184129	139944	321324	14031	34121
7_10	4178700	4938392	3769311	7318941	406301	869350
7_11	4776095	6153409	4782043	7716594	491486	1033524
7_20	5153176	5881003	4553854	9323063	482628	979623
7_21	4270630	4375787	3308974	8112848	347186	776791
8_00	297545	236795	177910	756882	19016	44378
8_01	4889168	4696087	3589942	10420588	397200	783994
8_03	5393361	6479640	4990509	10110852	543337	1052592
8_08	5291635	5729040	4353190	10646905	483134	988784
8_09	3152823	4009658	2994361	5515686	335593	742997
